"wave","defaultPersonality","variantID",shipName,"side"
#3,aggressive,0_buffalo_xiv,Nani Claverhouse,BOTTOM
#2,aggressive,0_buffalo_xiv,Nani Courier,BOTTOM

#WAVE 4.
4,reckless,403_aureole_x,T-5000,TOP
4,reckless,403_radiant_flagship,HAL9000,TOP
4,reckless,403_radiant_x,Dolores,TOP
4,reckless,403_aureole_x,Number Six,TOP
4,reckless,403_aureole_x,WALL-E,TOP
#4,reckless,403_ecstacy_x,ED-209,TOP
#4,reckless,403_ecstacy_x,GLaDOS,TOP

#WAVE 5.
#1,reckless,0_monitor_ark,This is going down,BOTTOM
#1,reckless,0_monitor_ark,in history,BOTTOM
5,aggressive,0_lurker_ark,Now listen closely,BOTTOM
#1,aggressive,0_lurker_ark,Now listen closely,BOTTOM
5,steady,0_legion_ark,Here's a little lesson,BOTTOM
5,steady,0_legion_ark,in trickery,BOTTOM
5,reckless,0_monitor_ark,This is going down,BOTTOM
5,reckless,0_monitor_ark,in history,BOTTOM
5,cautious,0_era_ark,If you wanna be,BOTTOM
5,cautious,0_era_ark,a Villain Number One,BOTTOM
#5,cautious,0_era_ark,a Villain Number One,BOTTOM
